"id";"address";"contact_number";"date_of_birth";"email";"full_name";"password";"role";"username"
18;"111 Elm Lane";"2223334444";"1995-12-09";"user111@mail.com";"Sophia Turner";"$2a$10$UuZzjF6/BsERmhh6F.FcDuj1/5LwCViYxGQ1II/PIY5hTbWa1iDOO";"CUSTOMER";"SophiaT"
19;"333 Oak Street";"4445556666";"1989-07-24";"user333@mail.com";"Ethan Wilson";"$2a$10$S4cSur11WAhjOBp0Nm3bMe/wlAKkFcVcwPiK8erghfw2uAwt/dmCq";"CUSTOMER";"EthanW"
20;"555 Cedar Lane";"6667778888";"1996-04-14";"user555@mail.com";"Isabella Harris";"$2a$10$hwN3SEo54yDGWFo/vjLx4uJF71ey1B/Hi7TptzH/lWMP2t/qanPga";"CUSTOMER";"IsabellaH"
21;"343 Cedar Lane";"6667778888";"1996-04-14";"user553@mail.com";"Nilon Harris";"$2a$10$3lu8ZLVDmpD95nawmzMmv.C1zzFZS4yELOtaMY.RGqA11TaPFxBvu";"CUSTOMER";"NilonHG"
22;"743 Cedar Lane";"6667778888";"1996-04-14";"user573@mail.com";"Nilon Kamla";"$2a$10$7.pNosWYAuz09BfpCkyjh.ZnC7ZXzuY90w.489gi7gQboox4hXvny";"CUSTOMER";"KamlaNilonHG"
23;"943 new Lane";"6667778888";"1996-04-14";"user073@mail.com";"Radhe Sharma";"$2a$10$0Uh1YgxgQqYDB2pPLNBFA.XcUiw5UdZ6SgbhOpbXx/b3hkIEDN7C2";"CUSTOMER";"Radhe"
24;"322 new Lane";"6667778888";"1996-04-14";"user173@mail.com";"Yash Tatkondawar";"$2a$10$RaNvvSlp2hnqiv37aEpcuOWlHsG0Wge6g18V/yd00nsaUfk7.3thG";"CUSTOMER";"Yash"
25;"000 new Lane";"6669778888";"1996-04-14";"user171@mail.com";"Pratik Bejgamwar";"$2a$10$bPQbH9m.oXPhp3rN1g3zd.XjSBlwMxYypiePMh9BpNZkCjkdKUjk2";"CUSTOMER";"Patrick"
26;"000 414 Lane";"6669778888";"1991-04-14";"new171@mail.com";"Ron Jain";"$2a$10$wCeYshyW02G4dor288pHYuHJ9oTa40g1PylTXLKbtqxrgQJPOVtBC";"CUSTOMER";"RonJ"
27;"000 414 Lane";"6669778888";"1891-04-14";"pradeep9171@mail.com";"Pradeep Pal";"$2a$10$gMMjabLjEAcKM6LAZdZ5zuk6Bsrn6elYijfSOgWIRRHImYHWfu4x.";"CUSTOMER";"Paddhu"
28;"318 414 Lane";"6669778888";"1891-04-14";"shiv@gmail.com";"Shibani Pal";"$2a$10$dVBkpu1c7MQ0cAG/hNCU4OSuzxgpP8R01FuAvhTMLXVIcMzL9vXZ2";"CUSTOMER";"Shivi"
29;"318 1008 Lane";"6669778888";"1991-01-18";"rinideb@gmail.com";"Rini Deb";"$2a$10$9NIcm822oSg6fS8gHKheou28ynypg5BsLQuYe6d2bxjskSgUdPfcm";"CUSTOMER";"Rini"
30;"new 1008 Lane";"6669778888";"1991-01-18";"new@gmail.com";"Rini Deb";"$2a$10$Doba2Nh9Z0g3s/Yqe7lC3.aQbCD1eGOse3eAk1RpHRBS6T95jPR1K";"CUSTOMER";"New"
31;"501 E 32nd Street apt 1008";"2345654320";"1997-12-08";"Thali@gmail.com";"Simran Solanki";"$2a$10$opm7IHa6SD8vQTXEXD7kiOglnxNhDEpnjy.zuY4hkh6NufYMAMisa";"CUSTOMER";"Thali"
32;"591 E 32";"1234567890";"1998-12-16";"user@gmail.com";"user";"$2a$10$Bi1CvMRLgmtPC7Cw3QG6j.Qr2JpTLvga3oalkrfrCLKG2fMJjaDZq";"CUSTOMER";"user"
35;"501 E 32nd Street";"1205253337";"2011-12-12";"ewa@gmail.com";"Ewa ewa";"$2a$10$DdVJt8lzfux38jNQdzwCneHXeNUi/roi/l94z3jNevzN3dqtxSiKG";"CUSTOMER";"ewa"
